哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,2004,8.9,578765,['不一样的导演，不一样的哈利·波特。'],https://movie.douban.com/subject/1291544/
天使爱美丽,Le fabuleux destin d'Amélie Poulain,2001,8.7,878264,['法式小清新。 '],https://movie.douban.com/subject/1292215/
入殓师,おくりびと,2008,8.9,567246,['死可能是一道门，逝去并不是终结，而是超越，走向下一程。'],https://movie.douban.com/subject/2149806/
唐伯虎点秋香,唐伯虎點秋香,1993,8.7,921408,['华太师是黄霑，吴镇宇四大才子之一。'],https://movie.douban.com/subject/1306249/
第六感,The Sixth Sense,1999,8.9,479580,['深入内心的恐怖，出人意料的结局。'],https://movie.douban.com/subject/1297630/
幽灵公主,もののけ姫,1997,8.9,462336,['人与自然的战争史诗。'],https://movie.douban.com/subject/1297359/
重庆森林,重慶森林,1994,8.8,691752,['寂寞没有期限。'],https://movie.douban.com/subject/1291999/
小森林 夏秋篇,リトル・フォレスト 夏・秋,2014,9.0,369117,['那些静得只能听见呼吸的日子里，你明白孤独即生活。'],https://movie.douban.com/subject/25814705/
阳光灿烂的日子,In the Heat of the Sun,1994,8.8,537805,['一场华丽的意淫。'],https://movie.douban.com/subject/1291875/
爱在黎明破晓前,Before Sunrise,1995,8.8,558113,['缘分是个连绵词，最美不过一瞬。'],https://movie.douban.com/subject/1296339/
一一,Yi yi  /  Yi yi: A One and a Two,2000,9.1,313641,['我们都曾经是一一。'],https://movie.douban.com/subject/1292434/
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,2012,8.8,621079,['诺兰就是保证。'],https://movie.douban.com/subject/3395373/
菊次郎的夏天,菊次郎の夏,1999,8.9,506660,['从没见过那么流氓的温柔，从没见过那么温柔的流氓。'],https://movie.douban.com/subject/1293359/
哈利·波特与密室,Harry Potter and the Chamber of Secrets,2002,8.8,605144,['魔法的密室之门已打开...'],https://movie.douban.com/subject/1296996/
消失的爱人,Gone Girl,2014,8.7,794061,['年度最佳date movie。'],https://movie.douban.com/subject/21318488/
超能陆战队,Big Hero 6,2014,8.7,876563,['Balalala~~~'],https://movie.douban.com/subject/11026735/
无人知晓,誰も知らない,2004,9.1,264519,['我的平常生活就是他人的幸福。'],https://movie.douban.com/subject/1292337/
小森林 冬春篇,リトル・フォレスト 冬・春,2015,9.0,330021,['尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。'],https://movie.douban.com/subject/25814707/
完美的世界,A Perfect World,1993,9.1,257734,['坏人的好总是比好人的好来得更感人。'],https://movie.douban.com/subject/1300992/
