大桃,长治市 ,￥8.00每棵,2022-03-11
橙子,重庆 ,￥1.60每斤,2022-03-11
橙子,重庆 ,￥1.50每斤,2022-03-10
人参果,武威市 ,￥2.80每斤,2022-03-10
榴梿,国外进口 ,￥1150.00每件,2022-03-10
龙眼,南宁市 ,￥3.00每斤,2022-03-10
包装,佛山市 ,￥0.00每个,2022-03-10
芒果,韶关市 ,￥160.00每公斤,2022-03-10
桔子,德阳市 ,￥3.00每斤,2022-02-09
砂糖橘,桂林市 ,￥2.00每斤,2022-02-09
其他,运城市 ,￥1.00每棵,2022-02-09
甜瓜,莆田市 ,￥222222.00每公斤,2022-02-08
杨梅,台州市 ,￥50.00每斤,2022-02-07
苹果,保定市 ,￥2.00每斤,2022-02-07
桔子,崇左市 ,￥3.50每斤,2022-02-07
草莓,临沂市 ,￥11.00每斤,2022-02-07
橙子,重庆 ,￥2.00每斤,2022-02-07
桔子,自贡市 ,￥2.50每吨,2022-02-07
其他,运城市 ,￥8.00每棵,2022-02-07
砂糖橘,贵港市 ,￥59.90每件,2022-02-07
桔子,眉山市 ,￥45.00每件,2022-02-06
芒果,陵水黎族自治县 ,￥6.50每斤,2022-02-06
甜瓜,潍坊市 ,￥6.00每斤,2022-02-05
杏子,运城市 ,￥1.00每棵,2022-02-04
苹果,陇南市 ,￥3.60每斤,2022-02-04
其他,保山市 ,￥20.00每斤,2022-02-04
其他,运城市 ,￥25.00每棵,2022-02-03
橙子,恩施土家族苗族自治州 ,￥3.00每斤,2022-01-30
砂糖橘,桂林市 ,￥1.70每公斤,2022-01-29
人参果,凉山彝族自治州 ,￥30.00每斤,2022-01-29
枇杷,成都市 ,￥9000.00每吨,2022-01-27
桔子,眉山市 ,￥2.00每斤,2022-01-25
苹果,阿克苏地区 ,￥5.00每斤,2022-01-16
桔子,南宁市 ,￥265.00每箱,2022-01-15
其他,梅州市 ,￥2.50每斤,2022-01-15
草莓,秦皇岛市 ,￥14.00每斤,2022-01-15
苹果,西安市 ,￥1.00每斤,2022-01-15
砂糖橘,贺州市 ,￥2.30每斤,2022-01-15
桔子,南宁市 ,￥32.00每箱,2022-01-13
桔子,成都市 ,￥2.50每斤,2022-01-13
桔子,梧州市 ,￥220.00每箱,2022-01-13
橙子,成都市 ,￥3.50每斤,2022-01-13
包装,玉林市 ,￥0.60每吨,2022-01-13
其他,西双版纳傣族自治州 ,￥25.00每公斤,2022-01-12
草莓,临汾市 ,￥14.00每斤,2022-01-12
红富士苹果,淄博市 ,￥1.00每斤,2022-01-12
桔子,玉溪市 ,￥30.00每箱,2022-01-12
其他,南宁市 ,￥60.00每箱,2022-01-12
柚子,襄樊市 ,￥1.00每斤,2022-01-12
草莓,秦皇岛市 ,￥15.00每斤,2022-01-12
红富士苹果,运城市 ,￥2.50每斤,2022-01-11
草莓,大连市 ,￥20.00每斤,2022-01-10
橙子,南充市 ,￥4.00每斤,2022-01-10
橙子,成都市 ,￥4.00每斤,2022-01-09
